ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
CALABASAS CAPITAL HOLDINGS LLC*|*B20250188883*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*25490 PRADO DE LAS BELLOTAS*|**|*CALABASAS*|*CA*|*United States*|*91302*|*25490 PRADO DE LAS BELLOTAS*|**|**|*CALABASAS*|*CA*|*United States*|*91302*|**|**|**|**|**|**|*One Manager*|*
Calderon & Gonzalez, P.C.*|*B20250189325*|*07/01/2025*|*ILLINOIS*|*Active*|*Good*|*Foreign Name Registration*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
Calerie International Holding LLC*|*B20250190136*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*200 SPECTRUM CENTER DRIVE*|*SUITE 2100*|*IRVINE*|*CA*|*United States*|*92618*|*200 SPECTRUM CENTER DRIVE*|*SUITE 2100*|**|*IRVINE*|*CA*|*United States*|*92618*|**|**|**|**|**|**|*All LLC Member(s)*|*
Calexico Coffee Inc.*|*B20250187087*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1761 MAGGIO RD*|**|*CALEXICO*|*CA*|*United States*|*92231*|*10906 WINNETKA AVE*|**|**|*CHATSWORTH*|*CA*|*United States*|*91311*|**|**|**|**|**|**|**|*
CALFIELD PLUMBING AND PIPING*|*B20250189881*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251404411*|*Jul  2 2025  1:21PM*|*4025 S FONTANA ST*|**|*VISALIA*|*CA*|*United States*|*93277*|*4025 S FONTANA ST*|**|**|*VISALIA*|*CA*|*United States*|*93277*|*4025 S FONTANA ST*|**|*VISALIA*|*CA*|*United States*|*93277*|**|*PLUMBING
CALI AG SERVICES, LLC*|*B20250190564*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2012 BRISTOL AVENUE*|**|*TULARE*|*CA*|*United States*|*93274*|*PO BOX 614*|**|**|*TULARE*|*CA*|*United States*|*93275*|**|**|**|**|**|**|*One Manager*|*
Cali Brews Mexican Grill LLC*|*B20250187741*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251405025*|*Jul  2 2025  2:18PM*|*712 WOOLLOMES AVE*|*109 & 110*|*DELANO*|*CA*|*United States*|*93215*|*712 WOOLLOMES AVE*|*109 &110*|**|*DELANO*|*CA*|*United States*|*93215*|**|**|**|**|**|**|*One Manager*|*RESTAURANT
Cali Cookin LLC*|*B20250189093*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1308 E COLORADO BLVD*|*2415*|*PASADENA*|*CA*|*United States*|*91106*|*1308 E COLORADO BLVD*|*2415*|**|*PASADENA*|*CA*|*United States*|*91106*|**|**|**|**|**|**|*One Manager*|*
Cali Custom Ag Corp.*|*B20250189219*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251401997*|*Jul  2 2025 10:15AM*|*8605 SANTA MONICA BLVD #310340*|**|*WEST HOLLYWOOD*|*CA*|*United States*|*90069*|*8605 SANTA MONICA BLVD #310340*|**|**|*WEST HOLLYWOOD*|*CA*|*United States*|*90069*|*8605 SANTA MONICA BLVD #310340*|**|*WEST HOLLYWOOD*|*CA*|*United States*|*90069*|**|*Farming
Cali Gold Enterprises LLC*|*B20250192416*|*07/03/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251413847*|*Jul  3 2025  5:16PM*|*65 ELIZABETH CT*|**|*TRACY*|*CA*|*United States*|*95376*|*65 ELIZABETH CT*|**|**|*TRACY*|*CA*|*United States*|*95376*|*65 ELIZABETH CT*|**|*TRACY*|*CA*|*United States*|*95376*|*All LLC Member(s)*|*Building, remodeling, demolition, fencing, grading
Cali Kirkham, MD Inc.*|*B20250184542*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*304 ALTAIR CIRCLE*|**|*BISHOP*|*CA*|*United States*|*93514*|*304 ALTAIR CIRCLE*|**|**|*BISHOP*|*CA*|*United States*|*93514*|**|**|**|**|**|**|**|*
Cali-books, LLC*|*B20250187142*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*7353 ALABAMA AVE*|**|*CANOGA PARK*|*CA*|*United States*|*91303*|*7353 ALABAMA AVE*|**|**|*CANOGA PARK*|*CA*|*United States*|*91303*|**|**|**|**|**|**|*One Manager*|*
CaliCare Mobile Phlebotomy LLC*|*B20250189959*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251413765*|*Jul  3 2025  4:57PM*|*6025 WINDLASS CT*|**|*CITRUS HEIGHTS*|*CA*|*United States*|*95621*|*6025 WINDLASS CT*|**|**|*CITRUS HEIGHTS*|*CA*|*United States*|*95621*|*6025 WINDLASS CT*|**|*CITRUS HEIGHTS*|*CA*|*United States*|*95621*|*All LLC Member(s)*|*Phlebotomy and specimen collection services for government health progra
California Basics Folsom Inc*|*B20250180933*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251400430*|*Jul  2 2025  5:50AM*|*13000 FOLSOM*|**|*FOLSOM*|*CA*|*United States*|*95630*|*13000 FOLSOM*|**|**|*FOLSOM*|*CA*|*United States*|*95630*|**|**|**|**|**|**|**|*Ladies Clothing Store
CALIFORNIA BOAT CHARTER AND SOLAR LLC*|*B20250188013*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251407100*|*Jul  2 2025  5:25PM*|*4577 PETALUMA AVENUE*|**|*LAKEWOOD*|*CA*|*United States*|*90713*|*4577 PETALUMA AVENUE*|**|**|*LAKEWOOD*|*CA*|*United States*|*90713*|*4577 PETALUMA AVENUE*|**|*LAKEWOOD*|*CA*|*United States*|*90713*|*One Manager*|*BOAT CHARTER SERVICE
California College and University Police and Public Safety Chiefs Association*|*B20250190193*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Mutual Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*11090 NEW FALCON WAY*|*CERRITOS COLLEGE POLICE DEPARTMENT*|*CERRITOS*|*CA*|*United States*|*90703*|*PO BOX #287, 15068 ROSECRANS AVE*|**|**|*LA MIRADA*|*CA*|*United States*|*90638*|**|**|**|**|**|**|**|*
California Displacement League*|*B20250159275*|*07/04/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2345 N ROCKRIDGE CIRCLE*|**|*ORANGE*|*CA*|*United States*|*92867*|*2345 N ROCKRIDGE CIRCLE*|**|**|*ORANGE*|*CA*|*United States*|*92867*|**|**|**|**|**|**|**|*
CALIFORNIA DRYWALL & FRAMING & CO.*|*B20250179466*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251407272*|*Jul  2 2025  6:12PM*|*12030 SHELDON STREET*|*APT 39A*|*SUN VALLEY*|*CA*|*United States*|*91352*|*12030 SHELDON STREET*|*APT 39A*|**|*SUN VALLEY*|*CA*|*United States*|*91352*|*12030 SHELDON STREET*|*APT 39A*|*SUN VALLEY*|*CA*|*United States*|*91352*|**|*CONSTRUCTION & DRYWALL AND FRAMING
California Health Options LLC*|*B20250187388*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3943 IRVINE BOULEVARD*|*1163*|*IRVINE*|*CA*|*United States*|*92602*|*3943 IRVINE BOULEVARD*|*1163*|**|*IRVINE*|*CA*|*United States*|*92602*|**|**|**|**|**|**|*All LLC Member(s)*|*
California James Neurology Medical Group LLC*|*B20250189328*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251410953*|*Jul  3 2025 12:04PM*|*2108 N ST*|*STE C*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE C*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE C*|*SACRAMENTO*|*CA*|*United States*|*95816*|*One Manager*|*Medical office
California Legacy Painting Inc*|*B20250187410*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2140 HOOVER AVE 328*|**|*NATIONAL CITY*|*CA*|*United States*|*91950*|*2140 HOOVER AVE 328*|**|**|*NATIONAL CITY*|*CA*|*United States*|*91950*|**|**|**|**|**|**|**|*
California Socials Agency LLC*|*B20250187816*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4818 SUNSET TERRACE LANE*|*APT F*|*FAIR OAKS*|*CA*|*United States*|*95628*|*4818 SUNSET TERRACE LANE*|*APT F*|**|*FAIR OAKS*|*CA*|*United States*|*95628*|**|**|**|**|**|**|*One Manager*|*
CALIFORNIA THETA CHAPTER HOUSE ASSOCIATION*|*B20250186653*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
California Tribal Court Personnel Association*|*B20250186972*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Mutual Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*473 EAST CARNEGIE DRIVE*|*200*|*SAN BERNARDINO*|*CA*|*United States*|*92408*|*P.O. BOX 1352*|**|**|*CORONA*|*CA*|*United States*|*92875*|**|**|**|**|**|**|**|*
California Youth Development for Peace*|*B20250192244*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4353 KENMORE DR S*|**|*FRESNO*|*CA*|*United States*|*93703-3440*|*4353 KENMORE DR S*|**|**|*FRESNO*|*CA*|*United States*|*93703-3440*|**|**|**|**|**|**|**|*
Caliplumb inc*|*B20250192078*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*5407 COLFAX AVE*|*APT 207*|*NORTH HOLLYWOOD*|*CA*|*United States*|*91601*|*5407 COLFAX AVE*|*APT 207*|**|*NORTH HOLLYWOOD*|*CA*|*United States*|*91601*|**|**|**|**|**|**|**|*
Calistoga Farms LLC*|*B20250193292*|*07/03/2025*|*DELAWARE*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*707 N 2ND ST*|*SUITE 217*|*ST LOUIS*|*MO*|*United States*|*63102*|*707 N 2ND ST*|*SUITE 217*|**|*ST LOUIS*|*MO*|*United States*|*63102*|**|**|**|**|**|**|**|*
Calistoga Hills Owners Association*|*B20250187645*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
CALL TO PRAYER AS A NATION MINISTRY*|*B20250191076*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*21200 KITTRIDGE ST*|*SUITE 1240*|*WOODLAND HILLS*|*CA*|*United States*|*91302*|*21200 KITTRIDGE ST*|*SUITE 1240*|**|*WOODLAND HILLS*|*CA*|*United States*|*91302*|**|**|**|**|**|**|**|*
Callahan Healthcare Partners PC*|*B20250191204*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*611 GATEWAY BLVD SUITE 120*|**|*SOUTH SAN FRANCISCO*|*CA*|*United States*|*94080*|*2460 E SERENE AVE UNIT 618*|**|**|*HENDERSON*|*NV*|*United States*|*89074*|**|**|**|**|**|**|**|*
Camarena Landesign Inc.*|*B20250187092*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251388068*|*Jun 30 2025  3:47PM*|*8605 SANTA MONICA BLVD #414310*|**|*WEST HOLLYWOOD*|*CA*|*United States*|*90069*|*8605 SANTA MONICA BLVD #414310*|**|**|*WEST HOLLYWOOD*|*CA*|*United States*|*90069*|*8605 SANTA MONICA BLVD #414310*|**|*WEST HOLLYWOOD*|*CA*|*United States*|*90069*|**|*Landscape design
Camelot Legacy Beacon Scholarship Fund  LLC*|*B20250188498*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251399941*|*Jul  1 2025  9:33PM*|*401 HARRISON ST*|*45B*|*SAN FRANCISCO*|*CA*|*United States*|*94105*|*401 HARRISON ST*|*45B*|**|*SAN FRANCISCO*|*CA*|*United States*|*94105*|**|**|**|**|**|**|*One Manager*|*Grant scholarship funds
CAMILA AUTO ACTION, LLC*|*B20250189241*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*26385 SEQUOIA ST*|**|*MORENO VALLEY*|*CA*|*United States*|*92555*|*26385 SEQUOIA ST*|**|**|*MORENO VALLEY*|*CA*|*United States*|*92555*|**|**|**|**|**|**|*One Manager*|*
Camillas Corner for Independent Living LLC*|*B20250188919*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251404025*|*Jul  2 2025 12:49PM*|*455 MARKET ST STE 1940 #444773*|**|*SAN FRANCISCO*|*CA*|*United States*|*94105*|*455 MARKET ST STE 1940 #444773*|**|**|*SAN FRANCISCO*|*CA*|*United States*|*94105*|*455 MARKET ST STE 1940 #444773*|**|*SAN FRANCISCO*|*CA*|*United States*|*94105*|*All LLC Member(s)*|*I will be providing housing for individuals
Camino Verano, LLC*|*B20250193300*|*07/03/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251414078*|*Jul  3 2025  6:31PM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*All LLC Member(s)*|*The purpose of this organization includes, but is not limited to: owning
Camp Death, LLC*|*B20250187707*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251398675*|*Jul  1 2025  4:48PM*|*4222 ETHEL AVE #11*|**|*STUDIO CITY*|*CA*|*United States*|*91604*|*4222 ETHEL AVE #11*|**|**|*STUDIO CITY*|*CA*|*United States*|*91604*|**|**|**|**|**|**|*One Manager*|*Produce and distribute an independent film
Campiotti Construction, Inc.*|*B20250191296*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*5994 W LAS POSITAS BLVD*|*115*|*PLEASANTON*|*CA*|*United States*|*94588*|*5994 W LAS POSITAS BLVD*|*115*|**|*PLEASANTON*|*CA*|*United States*|*94588*|**|**|**|**|**|**|**|*
CANERR TRANSPORT LLC*|*B20250187071*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*19844 CLAREMONT LN*|**|*LOS ANGELES*|*CA*|*United States*|*92646*|*19844 CLAREMONT LN*|**|**|*LOS ANGELES*|*CA*|*United States*|*92646*|**|**|**|**|**|**|*All LLC Member(s)*|*
Canne LLC*|*B20250190404*|*07/02/2025*|*WYOMING*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1021 E LINCOLNWAY*|*SUITE #5776*|*CHEYENNE*|*WY*|*United States*|*82001*|*1021 E LINCOLNWAY*|*SUITE #5776*|**|*CHEYENNE*|*WY*|*United States*|*82001*|**|**|**|**|**|**|**|*
Cannon Crown Ventures LLC*|*B20250190217*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*12007 COUNTRY GARDEN DR*|**|*RANCHO CORDOVA*|*CA*|*United States*|*95742*|*12007 COUNTRY GARDEN DR*|**|**|*RANCHO CORDOVA*|*CA*|*United States*|*95742*|**|**|**|**|**|**|*One Manager*|*
Canyon Irvine LLC*|*B20250187690*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*11956 ANDASOL AVE*|**|*GRANADA HILLS*|*CA*|*United States*|*91344*|*11956 ANDASOL AVE*|**|**|*GRANADA HILLS*|*CA*|*United States*|*91344*|**|**|**|**|**|**|*One Manager*|*
Canyon Ridge at Napa Junction, LLC*|*B20250192824*|*07/03/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*350 CALIFORNIA STREET*|*16TH FLOOR*|*SAN FRANCISCO*|*CA*|*United States*|*94104*|*350 CALIFORNIA STREET*|*16TH FLOOR*|**|*SAN FRANCISCO*|*CA*|*United States*|*94104*|**|**|**|**|**|**|*One Manager*|*
Canyon Row LLC*|*B20250187097*|*06/30/2025*|*NEW MEXICO*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*5203 JUAN TABO BLVD STE 2B*|**|*ALBUQUERQUE*|*NM*|*United States*|*87111*|*5203 JUAN TABO BLVD STE 2B*|**|**|*ALBUQUERQUE*|*NM*|*United States*|*87111*|**|**|**|**|**|**|**|*
CAP FUND E STREET INVESTORS LLC*|*B20250193148*|*07/03/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2331 WEST LINCOLN AVENUE*|**|*ANAHEIM*|*CA*|*United States*|*92801*|*2331 WEST LINCOLN AVENUE*|**|**|*ANAHEIM*|*CA*|*United States*|*92801*|**|**|**|**|**|**|*One Manager*|*
Capital City Junk Removal LLC*|*B20250190763*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*7891 PRAIRIE CREEK WAY*|**|*SACRAMENTO*|*CA*|*United States*|*95823*|*7891 PRAIRIE CREEK WAY*|**|**|*SACRAMENTO*|*CA*|*United States*|*95823*|**|**|**|**|**|**|*All LLC Member(s)*|*
CAPITAL FINANCIAL AND TAX CORP*|*B20250189510*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
Capital Q BBQ LLC*|*B20250190066*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
CapitalShares Group Holdings, Inc.*|*B20250188287*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
Caraways BBQ L.L.C.*|*B20250186463*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*300 LARITA DRIVE*|**|*BEN LOMOND*|*CA*|*United States*|*95005*|*300 LARITA DRIVE*|**|**|*BEN LOMOND*|*CA*|*United States*|*95005*|**|**|**|**|**|**|*All LLC Member(s)*|*
CARBON 9 DEFENSE LLC*|*B20250186726*|*06/30/2025*|*WYOMING*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*10170 JUNCTION DRIVE*|*SUITE 430-A*|*ANNAPOLIS JUNCTION*|*MD*|*United States*|*20701*|*10170 JUNCTION DRIVE*|*SUITE 430-A*|**|*ANNAPOLIS JUNCTION*|*MD*|*United States*|*20701*|*2438 BURGENER BLVD*|**|*SAN DIEGO*|*CA*|*United States*|*92110*|**|*
Card Drop LLC*|*B20250186863*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3504 WESLIN AVE*|**|*SHERMAN OAKS*|*CA*|*United States*|*91423*|*3504 WESLIN AVE*|**|**|*SHERMAN OAKS*|*CA*|*United States*|*91423*|**|**|**|**|**|**|*One Manager*|*
Cardenas Music*|*B20250188353*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
Cards for a Cause*|*B20250192186*|*07/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2726 CHOCOLATE ST*|**|*PLEASANTON*|*CA*|*United States*|*94588*|*2726 CHOCOLATE ST*|**|**|*PLEASANTON*|*CA*|*United States*|*94588*|**|**|**|**|**|**|**|*
CareAbove PC*|*B20250189485*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251404261*|*Jul  2 2025  1:09PM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|**|**|**|**|**|**|**|*Healthcare
Careli Properties Inc.*|*B20250187677*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*325 N ALTA VISTA AVE*|**|*MONROVIA*|*CA*|*United States*|*91016*|*325 N ALTA VISTA AVE*|**|**|*MONROVIA*|*CA*|*United States*|*91016*|**|**|**|**|**|**|**|*
CareMore Health of California, Inc.*|*B20250186515*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
CareVibe In-Home Care Services LLC*|*B20250188802*|*07/01/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251409253*|*Jul  3 2025  9:19AM*|*1324 CARNEROS VALLEY ST.*|**|*CHULA VISTA*|*CA*|*United States*|*91913*|*1324 CARNEROS VALLEY ST*|**|**|*CHULA VISTA*|*CA*|*United States*|*91913*|*1324 CARNEROS VALLEY ST*|**|*CHULA VIST*|*CA*|*United States*|*91913*|*All LLC Member(s)*|*Non-medical caregiving services, caregiver placement and staffing servic
CareVibe In-Home Care Services LLC*|*B20250186865*|*06/30/2025*|*CALIFORNIA*|*Inactive*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|*2025-07-03 09:18:56.917*|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
